Tempo, Tensão LDR 1, Tensão LDR 2
52174,1009,1011
52226,1010,1011
52276,1009,1011
52327,1009,1011
52377,1009,1011
52428,1009,1011
52478,1009,1011
52530,1009,1011
52580,1009,1010
52631,1009,1011
52681,1010,1011
52732,1009,1011
52783,1009,1010
52834,1009,1011
52884,1010,1011
52935,1010,1011
52985,1009,1011
53037,1009,1011
53087,1009,1011
53137,1009,1011
53188,1009,1010
53238,1009,1012
53289,1010,1012
53340,1009,1011
53391,1008,1011
53441,1009,1011
53492,1010,1012
53542,1009,1011
53594,1010,1011
53644,1009,1012
53695,1009,1011
53745,1009,1011
53796,1009,1011
53847,1009,1011
53898,1010,1011
53948,1009,1011
53998,1009,1011
54049,1010,1011
54099,1009,1011
54151,1009,1011
54201,1009,1011
54252,1010,1011
54302,1009,1011
54353,1009,1011
54404,1009,1012
54455,1009,1011
54505,1009,1011
54556,1008,1011
54606,1009,1011
54658,1009,1011
54708,1010,1011
54759,1009,1011
54809,1009,1011
54860,1009,1012
54910,1009,1011
54961,1009,1011
55012,1010,1011
55062,1009,1011
55113,1009,1011
55163,1009,1011
55215,1009,1011
55265,1009,1011
55316,1010,1011
55366,1009,1011
55417,1009,1011
55468,1009,1011
55519,1009,1011
55569,1009,1011
55620,1010,1011
55670,1009,1011
55721,1010,1011
55772,1009,1011
55822,1009,1011
55873,1009,1011
55923,1009,1011
55974,1009,1011
56025,1008,1011
56076,1009,1011
56126,1009,1011
56177,1009,1011
56227,1009,1011
56279,1009,1011
56329,1009,1010
56380,1009,1011
56430,1009,1011
56481,1009,1011
56531,1009,1011
56583,1009,1011
56633,1009,1011
56684,1009,1011
56734,1009,1011
56784,1009,1011
56836,1009,1011
56886,1009,1011
56937,1009,1011
56987,1009,1012
57038,1009,1012
57089,1010,1011
57140,1009,1011
57190,1009,1011
57241,1009,1011
57291,1009,1011
57342,1009,1011
57393,1009,1011
57444,1009,1011
57494,1009,1011
57545,1010,1011
57595,1009,1011
57646,1009,1011
57697,1009,1011
57747,1009,1011
57798,1009,1011
57848,1009,1011
57900,1009,1010
57950,1009,1011
58001,1009,1011
58051,1010,1011
58102,1009,1011
58152,1009,1011
58204,1009,1011
58254,1009,1011
58305,1009,1011
58355,1010,1012
58406,1009,1011
58457,1008,1010
58508,1009,1011
58558,1009,1011
58608,1009,1011
58659,1008,1010
58710,1009,1011
58761,1009,1011
58811,1009,1011
58862,1008,1011
58912,1009,1011
58963,1010,1011
59014,1009,1011
